chave,nutriente,sintomas,local_de_ocorrencia,tipo,funcao_na_planta,mobilidade_solo,mobilidade_solo_comentario,mobilidade_planta,mobilidade_planta_comentario,correcao_da_deficiencia,fontes_naturais,interacoes_com_outros_nutrientes,faixa_otima_solo,faixa_otima_folha,indicadores_no_solo_planta,faixa_de_ph_ideal_no_solo,tipo_de_solo_ideal,aplicacao_no_solo,fertirrigacao,aplicacao_foliar
boro,Boro (B),"Deformações Folhas, flores ou frutos",Folhas Jovens,Micro,Transporte de açúcares Regulação do crescimento celular Formação de células meristemáticas Desenvolvimento de flores e frutos,Alta mobilidade,Muito solúvel mas facilmente lixiviado em solos arenosos.,Baixa mobilidade,Pouco redistribuído essencial para tecidos em crescimento.,Aplicar ácido bórico ou borato,Solos de regiões vulcânicas,Interage com cálcio,3-10,18 - 60,Diagnóstico foliar,5.0 - 6.3,Solos ácidos a neutros (solos arenosos e solos ricos em matéria orgânica).,Sim,Não,Sim
boro,Boro (B),Murcha das extremidades,Folhas Jovens,Micro,Transporte de açúcares Regulação do crescimento celular Formação de células meristemáticas Desenvolvimento de flores e frutos,Alta mobilidade,Muito solúvel mas facilmente lixiviado em solos arenosos.,Baixa mobilidade,Pouco redistribuído essencial para tecidos em crescimento.,Aplicar ácido bórico ou borato,Solos de regiões vulcânicas,Interage com cálcio,3-10,18 - 60,Diagnóstico foliar,5.0 - 6.3,Solos ácidos a neutros (solos arenosos e solos ricos em matéria orgânica).,Sim,Não,Sim
boro,Boro (B),Necrose em pontos,Folhas Jovens,Micro,Transporte de açúcares Regulação do crescimento celular Formação de células meristemáticas Desenvolvimento de flores e frutos,Alta mobilidade,Muito solúvel mas facilmente lixiviado em solos arenosos.,Baixa mobilidade,Pouco redistribuído essencial para tecidos em crescimento.,Aplicar ácido bórico ou borato,Solos de regiões vulcânicas,Interage com cálcio,3-10,18 - 60,Diagnóstico foliar,5.0 - 6.3,Solos ácidos a neutros (solos arenosos e solos ricos em matéria orgânica).,Sim,Não,Sim
boro,Boro (B),Crescimento lento e reduzido,Raízes,Micro,Transporte de açúcares Regulação do crescimento celular Formação de células meristemáticas Desenvolvimento de flores e frutos,Alta mobilidade,Muito solúvel mas facilmente lixiviado em solos arenosos.,Baixa mobilidade,Pouco redistribuído essencial para tecidos em crescimento.,Aplicar ácido bórico ou borato,Solos de regiões vulcânicas,Interage com cálcio,3-10,18 - 60,Diagnóstico foliar,5.0 - 6.3,Solos ácidos a neutros (solos arenosos e solos ricos em matéria orgânica).,Sim,Não,Sim
calcio,Cálcio (Ca),Crescimento atrofiado e murchas,Folhas Jovens,Macro,Formação da parede celular Regulação do pH celular Transmissão de sinais hormonais Crescimento das raízes,Baixa mobilidade,Forma compostos insolúveis em solos ácidos e é menos disponível em solos com baixa umidade.,Baixa mobilidade,Pouco redistribuído; concentra-se em tecidos mais velhos e estruturas celulares como a parede celular,Aplicar calcário dolomítico ou gesso,Rocha calcária,Compete com potássio e magnésio,10-30,15 - 40,Análise do solo,6.0 - 7.5,Solos de pH neutro a ligeiramente alcalino (solos calcários solos arenosos com boa drenagem).,Sim,Não,Sim
calcio,Cálcio (Ca),Crescimento lento e reduzido,Raízes,Macro,Formação da parede celular Regulação do pH celular Transmissão de sinais hormonais Crescimento das raízes,Baixa mobilidade,Forma compostos insolúveis em solos ácidos e é menos disponível em solos com baixa umidade.,Baixa mobilidade,Pouco redistribuído; concentra-se em tecidos mais velhos e estruturas celulares como a parede celular,Aplicar calcário dolomítico ou gesso,Rocha calcária,Compete com potássio e magnésio,10-30,15 - 40,Análise do solo,6.0 - 7.5,Solos de pH neutro a ligeiramente alcalino (solos calcários solos arenosos com boa drenagem).,Sim,Não,Sim
calcio,Cálcio (Ca),"Deformações Folhas, flores ou frutos",Toda planta,Macro,Formação da parede celular Regulação do pH celular Transmissão de sinais hormonais Crescimento das raízes,Baixa mobilidade,Forma compostos insolúveis em solos ácidos e é menos disponível em solos com baixa umidade.,Baixa mobilidade,Pouco redistribuído; concentra-se em tecidos mais velhos e estruturas celulares como a parede celular,Aplicar calcário dolomítico ou gesso,Rocha calcária,Compete com potássio e magnésio,10-30,15 - 40,Análise do solo,6.0 - 7.5,Solos de pH neutro a ligeiramente alcalino (solos calcários solos arenosos com boa drenagem).,Sim,Não,Sim
calcio,Cálcio (Ca),Morte de meristemas apical,Toda planta,Macro,Formação da parede celular Regulação do pH celular Transmissão de sinais hormonais Crescimento das raízes,Baixa mobilidade,Forma compostos insolúveis em solos ácidos e é menos disponível em solos com baixa umidade.,Baixa mobilidade,Pouco redistribuído; concentra-se em tecidos mais velhos e estruturas celulares como a parede celular,Aplicar calcário dolomítico ou gesso,Rocha calcária,Compete com potássio e magnésio,10-30,15 - 40,Análise do solo,6.0 - 7.5,Solos de pH neutro a ligeiramente alcalino (solos calcários solos arenosos com boa drenagem).,Sim,Não,Sim
calcio,Cálcio (Ca),Necrose nas extremidades das folhas,Folhas Jovens,Macro,Formação da parede celular Regulação do pH celular Transmissão de sinais hormonais Crescimento das raízes,Baixa mobilidade,Forma compostos insolúveis em solos ácidos e é menos disponível em solos com baixa umidade.,Baixa mobilidade,Pouco redistribuído; concentra-se em tecidos mais velhos e estruturas celulares como a parede celular,Aplicar calcário dolomítico ou gesso,Rocha calcária,Compete com potássio e magnésio,10-30,15 - 40,Análise do solo,6.0 - 7.5,Solos de pH neutro a ligeiramente alcalino (solos calcários solos arenosos com boa drenagem).,Sim,Não,Sim
cloro,Cloro (Cl),Clorose,Toda planta,Micro,Fotólise da água na fotossíntese Regulação osmótica Equilíbrio iônico Participação na fotossíntese,Alta mobilidade,Muito solúvel e facilmente lixiviado,Alta mobilidade,Redistribuído rapidamente essencial para processos osmóticos.,Aplicar cloreto de potássio (KCl) ou outro fertilizante contendo cloro,Água de irrigação e sais naturais no solo,Compete com potássio e magnésio,10 - 40,100 - 1000,Diagnóstico foliar,6.0 - 7.5,Solos de pH neutro ou ligeiramente alcalino (solos arenosos e solos calcários).,Sim,Sim,Não
cloro,Cloro (Cl),Diminuição do crescimento,Toda planta,Micro,Fotólise da água na fotossíntese Regulação osmótica Equilíbrio iônico Participação na fotossíntese,Alta mobilidade,Muito solúvel e facilmente lixiviado,Alta mobilidade,Redistribuído rapidamente essencial para processos osmóticos.,Aplicar cloreto de potássio (KCl) ou outro fertilizante contendo cloro,Água de irrigação e sais naturais no solo,Compete com potássio e magnésio,10 - 40,100 - 1000,Diagnóstico foliar,6.0 - 7.5,Solos de pH neutro ou ligeiramente alcalino (solos arenosos e solos calcários).,Sim,Sim,Não
cloro,Cloro (Cl),Necrose nas folhas,Toda planta,Micro,Fotólise da água na fotossíntese Regulação osmótica Equilíbrio iônico Participação na fotossíntese,Alta mobilidade,Muito solúvel e facilmente lixiviado,Alta mobilidade,Redistribuído rapidamente essencial para processos osmóticos.,Aplicar cloreto de potássio (KCl) ou outro fertilizante contendo cloro,Água de irrigação e sais naturais no solo,Compete com potássio e magnésio,10 - 40,100 - 1000,Diagnóstico foliar,6.0 - 7.5,Solos de pH neutro ou ligeiramente alcalino (solos arenosos e solos calcários).,Sim,Sim,Não
cloro,Cloro (Cl),Necrose nas pontas das raízes,Raízes,Micro,Fotólise da água na fotossíntese Regulação osmótica Equilíbrio iônico Participação na fotossíntese,Alta mobilidade,Muito solúvel e facilmente lixiviado,Alta mobilidade,Redistribuído rapidamente essencial para processos osmóticos.,Aplicar cloreto de potássio (KCl) ou outro fertilizante contendo cloro,Água de irrigação e sais naturais no solo,Compete com potássio e magnésio,10 - 40,100 - 1000,Diagnóstico foliar,6.0 - 7.5,Solos de pH neutro ou ligeiramente alcalino (solos arenosos e solos calcários).,Sim,Sim,Não
cloro,Cloro (Cl),Redução da resistência a doenças,Toda planta,Micro,Fotólise da água na fotossíntese Regulação osmótica Equilíbrio iônico Participação na fotossíntese,Alta mobilidade,Muito solúvel e facilmente lixiviado,Alta mobilidade,Redistribuído rapidamente essencial para processos osmóticos.,Aplicar cloreto de potássio (KCl) ou outro fertilizante contendo cloro,Água de irrigação e sais naturais no solo,Compete com potássio e magnésio,10 - 40,100 - 1000,Diagnóstico foliar,6.0 - 7.5,Solos de pH neutro ou ligeiramente alcalino (solos arenosos e solos calcários).,Sim,Sim,Não
cobre,Cobre (Cu),Clorose,Toda planta,Micro,Transporte de elétrons na fotossíntese Síntese de lignina Ativação de enzimas Crescimento das raízes,Baixa mobilidade,Adsorvido em partículas de argila e matéria orgânica,Baixa mobilidade,Pouca redistribuição; deficiência surge em folhas novas.,Aplicar sulfato de cobre ou óxidos de cobre,Matéria orgânica e Minerais malaquita,Pode competir com zinco e ferro,0.1 - 1.5,5 - 20 ,Diagnóstico foliar,5.5 - 6.5,Solos ácidos a neutros (solos argilosos solos de pH ligeiramente baixo).,Sim,Não,Sim
cobre,Cobre (Cu),Distúrbios do sistema vascular,Toda planta,Micro,Transporte de elétrons na fotossíntese Síntese de lignina Ativação de enzimas Crescimento das raízes,Baixa mobilidade,Adsorvido em partículas de argila e matéria orgânica,Baixa mobilidade,Pouca redistribuição; deficiência surge em folhas novas.,Aplicar sulfato de cobre ou óxidos de cobre,Matéria orgânica e Minerais malaquita,Pode competir com zinco e ferro,0.1 - 1.5,5 - 20 ,Diagnóstico foliar,5.5 - 6.5,Solos ácidos a neutros (solos argilosos solos de pH ligeiramente baixo).,Sim,Não,Sim
cobre,Cobre (Cu),Enfraquecimento das raízes,Raízes,Micro,Transporte de elétrons na fotossíntese Síntese de lignina Ativação de enzimas Crescimento das raízes,Baixa mobilidade,Adsorvido em partículas de argila e matéria orgânica,Baixa mobilidade,Pouca redistribuição; deficiência surge em folhas novas.,Aplicar sulfato de cobre ou óxidos de cobre,Matéria orgânica e Minerais malaquita,Pode competir com zinco e ferro,0.1 - 1.5,5 - 20 ,Diagnóstico foliar,5.5 - 6.5,Solos ácidos a neutros (solos argilosos solos de pH ligeiramente baixo).,Sim,Não,Sim
cobre,Cobre (Cu),Necrose nas folhas,Toda planta,Micro,Transporte de elétrons na fotossíntese Síntese de lignina Ativação de enzimas Crescimento das raízes,Baixa mobilidade,Adsorvido em partículas de argila e matéria orgânica,Baixa mobilidade,Pouca redistribuição; deficiência surge em folhas novas.,Aplicar sulfato de cobre ou óxidos de cobre,Matéria orgânica e Minerais malaquita,Pode competir com zinco e ferro,0.1 - 1.5,5 - 20 ,Diagnóstico foliar,5.5 - 6.5,Solos ácidos a neutros (solos argilosos solos de pH ligeiramente baixo).,Sim,Não,Sim
enxofre,Enxofre (S),Clorose,Folhas Jovens,Macro,Síntese de proteínas Formação de vitaminas Regulação do crescimento celular Ativação de enzimas,Alta mobilidade,Na forma de sulfato (SO₄²⁻) é muito solúvel e pode ser lixiviado em solos arenosos.,Moderada mobilidade,Redistribuído em menor grau que nitrogênio potássio ou magnésio mas é importante para síntese de proteínas.,Aplicar sulfato de amônia ou gesso,Resíduos vegetais,Relacionado ao nitrogênio,1-2,1 - 3,Diagnóstico foliar,5.5 - 7.0,Solos de pH neutro ou ligeiramente ácido (solos ricos em matéria orgânica solos argilosos).,Sim,Sim,Sim
enxofre,Enxofre (S),Crescimento atrofiado e amarelamento das folhas,Toda planta,Macro,Síntese de proteínas Formação de vitaminas Regulação do crescimento celular Ativação de enzimas,Alta mobilidade,Na forma de sulfato (SO₄²⁻) é muito solúvel e pode ser lixiviado em solos arenosos.,Moderada mobilidade,Redistribuído em menor grau que nitrogênio potássio ou magnésio mas é importante para síntese de proteínas.,Aplicar sulfato de amônia ou gesso,Resíduos vegetais,Relacionado ao nitrogênio,1-2,1 - 3,Diagnóstico foliar,5.5 - 7.0,Solos de pH neutro ou ligeiramente ácido (solos ricos em matéria orgânica solos argilosos).,Sim,Sim,Sim
enxofre,Enxofre (S),Crescimento lento e reduzido,Toda planta,Macro,Síntese de proteínas Formação de vitaminas Regulação do crescimento celular Ativação de enzimas,Alta mobilidade,Na forma de sulfato (SO₄²⁻) é muito solúvel e pode ser lixiviado em solos arenosos.,Moderada mobilidade,Redistribuído em menor grau que nitrogênio potássio ou magnésio mas é importante para síntese de proteínas.,Aplicar sulfato de amônia ou gesso,Resíduos vegetais,Relacionado ao nitrogênio,1-2,1 - 3,Diagnóstico foliar,5.5 - 7.0,Solos de pH neutro ou ligeiramente ácido (solos ricos em matéria orgânica solos argilosos).,Sim,Sim,Sim
enxofre,Enxofre (S),Crescimento lento e reduzido,Raízes,Macro,Síntese de proteínas Formação de vitaminas Regulação do crescimento celular Ativação de enzimas,Alta mobilidade,Na forma de sulfato (SO₄²⁻) é muito solúvel e pode ser lixiviado em solos arenosos.,Moderada mobilidade,Redistribuído em menor grau que nitrogênio potássio ou magnésio mas é importante para síntese de proteínas.,Aplicar sulfato de amônia ou gesso,Resíduos vegetais,Relacionado ao nitrogênio,1-2,1 - 3,Diagnóstico foliar,5.5 - 7.0,Solos de pH neutro ou ligeiramente ácido (solos ricos em matéria orgânica solos argilosos).,Sim,Sim,Sim
ferro,Ferro (Fe),Clorose entre nervuras,Folhas Jovens,Micro,Formação de clorofila Transporte de elétrons na fotossíntese Síntese de proteínas Ativação de enzimas,Baixa mobilidade,Forma óxidos insolúveis em solos com pH neutro ou alcalino,Baixa mobilidade,Não é redistribuído; deficiência aparece primeiro nas folhas jovens.,Aplicar quelato de ferro,Solos ricos em óxidos de ferro,Compete com manganês,50-100,50 - 150,Diagnóstico foliar,5.5 - 6.5,Solos ácidos a ligeiramente ácidos (solos de pH baixo solos argilosos e solos ácidos como os de floresta).,Sim,Não,Sim
ferro,Ferro (Fe),Crescimento atrofiado e amarelamento das folhas,Toda planta,Micro,Formação de clorofila Transporte de elétrons na fotossíntese Síntese de proteínas Ativação de enzimas,Baixa mobilidade,Forma óxidos insolúveis em solos com pH neutro ou alcalino,Baixa mobilidade,Não é redistribuído; deficiência aparece primeiro nas folhas jovens.,Aplicar quelato de ferro,Solos ricos em óxidos de ferro,Compete com manganês,50-100,50 - 150,Diagnóstico foliar,5.5 - 6.5,Solos ácidos a ligeiramente ácidos (solos de pH baixo solos argilosos e solos ácidos como os de floresta).,Sim,Não,Sim
ferro,Ferro (Fe),Diminuição do crescimento,Toda planta,Micro,Formação de clorofila Transporte de elétrons na fotossíntese Síntese de proteínas Ativação de enzimas,Baixa mobilidade,Forma óxidos insolúveis em solos com pH neutro ou alcalino,Baixa mobilidade,Não é redistribuído; deficiência aparece primeiro nas folhas jovens.,Aplicar quelato de ferro,Solos ricos em óxidos de ferro,Compete com manganês,50-100,50 - 150,Diagnóstico foliar,5.5 - 6.5,Solos ácidos a ligeiramente ácidos (solos de pH baixo solos argilosos e solos ácidos como os de floresta).,Sim,Não,Sim
fosforo,Fósforo (P),Crescimento lento e reduzido,Toda planta,Macro,Crescimento radicular Transferência de energia (ATP) Síntese de ácidos nucleicos Desenvolvimento de flores e frutos,Baixa mobilidade,O fósforo reage com cálcio ferro ou alumínio formando compostos insolúveis em solos de pH extremo (ácidos ou alcalinos),Moderada mobilidade,É transportado em menor proporção que o nitrogênio e o potássio mas pode ser redistribuído internamente especialmente para áreas em crescimento ativo.,Aplicar superfosfato ou MAP,Rocha fosfática,Pode competir com zinco e ferro,2-5,1 - 3,Análise do solo,6.0 - 7.0,Solos ligeiramente ácidos a neutros (solo argiloso solo com boa capacidade de retenção de água).,Sim,Não,Não
fosforo,Fósforo (P),Crescimento lento e reduzido,Raízes,Macro,Crescimento radicular Transferência de energia (ATP) Síntese de ácidos nucleicos Desenvolvimento de flores e frutos,Baixa mobilidade,O fósforo reage com cálcio ferro ou alumínio formando compostos insolúveis em solos de pH extremo (ácidos ou alcalinos),Moderada mobilidade,É transportado em menor proporção que o nitrogênio e o potássio mas pode ser redistribuído internamente especialmente para áreas em crescimento ativo.,Aplicar superfosfato ou MAP,Rocha fosfática,Pode competir com zinco e ferro,2-5,1 - 3,Análise do solo,6.0 - 7.0,Solos ligeiramente ácidos a neutros (solo argiloso solo com boa capacidade de retenção de água).,Sim,Não,Não
fosforo,Fósforo (P),Dificuldade na floração e frutificação,Toda planta,Macro,Crescimento radicular Transferência de energia (ATP) Síntese de ácidos nucleicos Desenvolvimento de flores e frutos,Baixa mobilidade,O fósforo reage com cálcio ferro ou alumínio formando compostos insolúveis em solos de pH extremo (ácidos ou alcalinos),Moderada mobilidade,É transportado em menor proporção que o nitrogênio e o potássio mas pode ser redistribuído internamente especialmente para áreas em crescimento ativo.,Aplicar superfosfato ou MAP,Rocha fosfática,Pode competir com zinco e ferro,2-5,1 - 3,Análise do solo,6.0 - 7.0,Solos ligeiramente ácidos a neutros (solo argiloso solo com boa capacidade de retenção de água).,Sim,Não,Não
fosforo,Fósforo (P),Folhas roxas ou verde-escuro,Toda planta,Macro,Crescimento radicular Transferência de energia (ATP) Síntese de ácidos nucleicos Desenvolvimento de flores e frutos,Baixa mobilidade,O fósforo reage com cálcio ferro ou alumínio formando compostos insolúveis em solos de pH extremo (ácidos ou alcalinos),Moderada mobilidade,É transportado em menor proporção que o nitrogênio e o potássio mas pode ser redistribuído internamente especialmente para áreas em crescimento ativo.,Aplicar superfosfato ou MAP,Rocha fosfática,Pode competir com zinco e ferro,2-5,1 - 3,Análise do solo,6.0 - 7.0,Solos ligeiramente ácidos a neutros (solo argiloso solo com boa capacidade de retenção de água).,Sim,Não,Não
